Round Number,Date,Location,Home Team,Away Team,Result
17,13/02/2019 20:00,Target Center,Minnesota Timberwolves,Houston Rockets,121 - 111
17,13/02/2019 20:30,American Airlines Center,Dallas Mavericks,Miami Heat,101 - 112
17,13/02/2019 21:00,Pepsi Center,Denver Nuggets,Sacramento Kings,120 - 118
17,13/02/2019 22:30,Moda Center,Portland Trail Blazers,Golden State Warriors,129 - 107
17,13/02/2019 22:30,Staples Center,LA Clippers,Phoenix Suns,134 - 107
17,14/02/2019 19:00,Amway Center,Orlando Magic,Charlotte Hornets,127 - 89
17,14/02/2019 19:30,State Farm Arena,Atlanta Hawks,New York Knicks,91 - 106
17,14/02/2019 20:00,Smoothie King Center,New Orleans Pelicans,Oklahoma City Thunder,131 - 122
18,21/02/2019 19:00,Quicken Loans Arena,Cleveland Cavaliers,Phoenix Suns,111 - 98
18,21/02/2019 19:00,Wells Fargo Center,Philadelphia 76ers,Miami Heat,106 - 102
18,21/02/2019 19:30,Barclays Center,Brooklyn Nets,Portland Trail Blazers,99 - 113
18,21/02/2019 20:00,Fiserv Forum,Milwaukee Bucks,Boston Celtics,98 - 97
18,21/02/2019 22:30,ORACLE Arena,Golden State Warriors,Sacramento Kings,125 - 123
18,21/02/2019 22:30,Staples Center,Los Angeles Lakers,Houston Rockets,111 - 106
18,22/02/2019 19:00,Spectrum Center,Charlotte Hornets,Washington Wizards,123 - 110
18,22/02/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,New Orleans Pelicans,126 - 111
18,22/02/2019 19:00,Amway Center,Orlando Magic,Chicago Bulls,109 - 110
18,22/02/2019 19:00,Scotiabank Arena,Toronto Raptors,San Antonio Spurs,120 - 117
18,22/02/2019 19:30,State Farm Arena,Atlanta Hawks,Detroit Pistons,122 - 125
18,22/02/2019 19:30,Madison Square Garden,New York Knicks,Minnesota Timberwolves,104 - 115
18,22/02/2019 20:00,FedExForum,Memphis Grizzlies,LA Clippers,106 - 112
18,22/02/2019 20:30,American Airlines Center,Dallas Mavericks,Denver Nuggets,104 - 114
18,22/02/2019 21:30,Chesapeake Energy Arena,Oklahoma City Thunder,Utah Jazz,148 - 147
18,23/02/2019 13:00,Wells Fargo Center,Philadelphia 76ers,Portland Trail Blazers,115 - 130
18,23/02/2019 19:00,State Farm Arena,Atlanta Hawks,Phoenix Suns,120 - 112
18,23/02/2019 19:00,Spectrum Center,Charlotte Hornets,Brooklyn Nets,115 - 117
18,23/02/2019 19:00,Quicken Loans Arena,Cleveland Cavaliers,Memphis Grizzlies,112 - 107
18,23/02/2019 19:00,Capital One Arena,Washington Wizards,Indiana Pacers,112 - 119
18,23/02/2019 19:00,Smoothie King Center,New Orleans Pelicans,Los Angeles Lakers,128 - 115
18,23/02/2019 19:30,AmericanAirlines Arena,Miami Heat,Detroit Pistons,96 - 119
18,23/02/2019 20:00,United Center,Chicago Bulls,Boston Celtics,126 - 116
18,23/02/2019 20:00,Chesapeake Energy Arena,Oklahoma City Thunder,Sacramento Kings,116 - 119
18,23/02/2019 20:30,Fiserv Forum,Milwaukee Bucks,Minnesota Timberwolves,140 - 128
18,23/02/2019 20:30,ORACLE Arena,Golden State Warriors,Houston Rockets,112 - 118
18,23/02/2019 22:00,Vivint Smart Home Arena,Utah Jazz,Dallas Mavericks,125 - 109
18,24/02/2019 15:30,Scotiabank Arena,Toronto Raptors,Orlando Magic,98 - 113
18,24/02/2019 17:00,Pepsi Center,Denver Nuggets,LA Clippers,123 - 96
18,24/02/2019 19:30,Madison Square Garden,New York Knicks,San Antonio Spurs,130 - 118
18,25/02/2019 19:00,Spectrum Center,Charlotte Hornets,Golden State Warriors,110 - 121
18,25/02/2019 19:00,Quicken Loans Arena,Cleveland Cavaliers,Portland Trail Blazers,110 - 123
18,25/02/2019 19:00,Little Caesars Arena,Detroit Pistons,Indiana Pacers,113 - 109
18,25/02/2019 19:30,Barclays Center,Brooklyn Nets,San Antonio Spurs,101 - 85
18,25/02/2019 19:30,AmericanAirlines Arena,Miami Heat,Phoenix Suns,121 - 124
18,25/02/2019 20:00,United Center,Chicago Bulls,Milwaukee Bucks,106 - 117
18,25/02/2019 20:00,Toyota Center,Houston Rockets,Atlanta Hawks,119 - 111
18,25/02/2019 20:00,FedExForum,Memphis Grizzlies,Los Angeles Lakers,110 - 105
18,25/02/2019 20:00,Target Center,Minnesota Timberwolves,Sacramento Kings,112 - 105
18,25/02/2019 20:00,Smoothie King Center,New Orleans Pelicans,Philadelphia 76ers,110 - 111
18,25/02/2019 22:30,Staples Center,LA Clippers,Dallas Mavericks,121 - 112
18,26/02/2019 19:30,Madison Square Garden,New York Knicks,Orlando Magic,108 - 103
18,26/02/2019 20:00,Scotiabank Arena,Toronto Raptors,Boston Celtics,118 - 95
18,26/02/2019 22:30,Pepsi Center,Denver Nuggets,Oklahoma City Thunder,121 - 112
18,27/02/2019 19:00,Spectrum Center,Charlotte Hornets,Houston Rockets,113 - 118
18,27/02/2019 19:30,State Farm Arena,Atlanta Hawks,Minnesota Timberwolves,131 - 123
18,27/02/2019 19:30,Barclays Center,Brooklyn Nets,Washington Wizards,116 - 125
18,27/02/2019 19:30,AmericanAirlines Arena,Miami Heat,Golden State Warriors,126 - 125
18,27/02/2019 20:00,TD Garden,Boston Celtics,Portland Trail Blazers,92 - 97
18,27/02/2019 20:00,FedExForum,Memphis Grizzlies,Chicago Bulls,107 - 109
18,27/02/2019 20:30,AT+ACY-T Center,San Antonio Spurs,Detroit Pistons,105 - 93
18,27/02/2019 20:30,American Airlines Center,Dallas Mavericks,Indiana Pacers,110 - 101
18,27/02/2019 21:00,Vivint Smart Home Arena,Utah Jazz,LA Clippers,111 - 105
18,27/02/2019 22:00,Golden 1 Center,Sacramento Kings,Milwaukee Bucks,140 - 141
18,27/02/2019 22:30,Staples Center,Los Angeles Lakers,New Orleans Pelicans,125 - 119
19,28/02/2019 19:00,Bankers Life Fieldhouse,Indiana Pacers,Minnesota Timberwolves,122 - 115
19,28/02/2019 19:00,Amway Center,Orlando Magic,Golden State Warriors,103 - 96
